src,dst,weights
0,1,6.5
0,3,7.5
0,5,6.5
0,9,10.5
0,12,8.5
0,19,7.5
0,21,9.0
0,25,9.0
0,31,6.0
0,33,6.5
0,38,8.5
0,53,9.5
0,67,6.5
0,68,7.0
0,86,6.5
0,92,9.0
1,0,6.5
1,3,6.0
1,12,7.0
1,13,8.0
1,14,7.5
1,15,7.5
1,16,10.0
1,20,10.5
1,22,9.0
1,24,9.5
1,25,7.5
1,31,6.5
1,37,9.0
1,39,3.5
1,42,7.5
1,43,10.5
1,45,10.0
1,47,7.0
1,65,8.0
1,68,9.0
1,85,10.5
1,92,10.5
2,6,9.5
2,31,7.0
2,33,7.5
2,38,9.5
2,43,7.5
2,46,6.0
2,52,8.5
2,53,9.0
2,55,7.5
2,56,10.0
2,60,6.5
2,61,9.0
2,65,7.0
2,67,5.0
2,69,8.0
3,0,7.5
3,1,6.0
3,20,9.0
3,28,6.0
3,33,6.0
3,49,8.0
3,52,6.0
3,57,7.0
3,59,8.5
3,69,8.5
3,71,8.5
3,72,9.5
3,83,8.0
3,87,7.5
3,88,6.5
3,93,7.0
3,95,6.5
4,11,4.5
4,13,10.0
4,26,7.5
4,33,6.0
4,37,3.0
4,43,9.0
4,47,8.0
4,61,8.0
4,68,6.5
4,69,7.0
4,71,8.5
4,74,8.0
4,77,10.0
4,79,7.0
4,87,7.5
4,89,8.0
4,93,9.5
5,0,6.5
5,8,8.5
5,9,10.0
5,11,8.0
5,17,6.0
5,22,9.0
5,33,9.5
5,37,7.5
5,43,10.0
5,48,9.0
5,49,7.0
5,51,6.5
5,55,9.5
5,56,6.5
5,72,10.0
5,84,8.5
5,87,7.0
5,88,6.5
5,92,6.5
6,2,9.5
6,10,8.0
6,11,10.5
6,15,9.0
6,16,6.5
6,17,7.5
6,23,8.0
6,32,6.0
6,42,7.0
6,45,7.5
6,50,6.5
6,59,8.0
6,61,10.5
6,74,8.0
6,75,9.0
6,77,7.0
6,81,7.0
6,83,6.0
6,86,8.5
6,88,9.5
6,89,8.0
6,93,7.5
6,97,6.5
7,19,7.0
7,23,7.0
7,24,7.0
7,32,8.0
7,35,7.0
7,42,9.5
7,46,6.0
7,47,9.5
7,57,9.0
7,61,10.0
7,62,6.5
7,65,7.0
7,66,6.5
7,67,8.5
7,68,9.0
7,69,3.5
7,72,8.0
7,76,8.0
7,84,8.0
7,86,9.5
7,89,9.0
